Title,releaseYear,desc1,Meta_score,duration,rating,image,vote,rated
27. Strange Darling,2023.0,Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.,82.0,1h 37m,7.7,"https://m.media-amazon.com/images/M/MV5BNDE2OTQ0NjEtNmEwMC00NmRjLThiOGMtN2M1N2Q2YWY0NGY4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",4900.0,R
28. Queer,2024.0,"Lee, who recounts his life in Mexico City among American expatriate college students and bar owners surviving on part-time jobs and GI Bill benefits. He is driven to pursue a young man named Allerton, who is based on Adelbert Lewis Marker.",75.0,2h 15m,5.8,"https://m.media-amazon.com/images/M/MV5BN2E5YjIxMmYtYzUwMi00MmUzLWI1NWItMzFiYjM5MmY2ZmI0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",0.0,Not Rated
29. Incoming,2024.0,Four freshmen navigate the terrors of adolescence at their first-ever high school party.,38.0,1h 31m,5.8,"https://m.media-amazon.com/images/M/MV5BYWMyYmFhMzMtYjMwYS00Zjg0LWE0NmYtNzZmZWQ5MjkwZTJkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",8300.0,R
30. Inside Out 2,2024.0,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",73.0,1h 36m,7.7,"https://m.media-amazon.com/images/M/MV5BYTc1MDQ3NjAtOWEzMi00YzE1LWI2OWUtNjQ0OWJkMzI3MDhmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",125000.0,PG
31. Speak No Evil,2024.0,"A family is invited to spend a weekend in an idyllic country house, unaware that their dream vacation will soon become a psychological nightmare.",0.0,1h 50m,0.0,"https://m.media-amazon.com/images/M/MV5BMWI2OWFjNjgtOTQ2Zi00MjlmLTg2MGYtNmE4MjMyZjIzMDA0XkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg",0.0,R
32. Sonic the Hedgehog 3,2024.0,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",0.0,Not Relased,0.0,"https://m.media-amazon.com/images/M/MV5BZTkyMGFlNzMtMTljOC00ZDMyLWE5NWItMzVjMDZmNzA2Yjc2XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",0.0,Not Rated
33. The Apprentice,2024.0,The story of how a young Donald Trump started his real estate business in 1970s and 80s New York with the helping hand of infamous lawyer Roy Cohn.,62.0,2h,6.5,"https://m.media-amazon.com/images/M/MV5BYTRhMmM5NzctNTJlNi00NWUyLTk3NjMtODRhN2QyYTA1NzQzXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",0.0,Not Rated
34. The Substance,2024.0,"A fading celebrity decides to use a black-market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",85.0,2h 20m,7.9,"https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg",1600.0,R
35. The Brutalist,2024.0,"When visionary architect László Toth and his wife Erzsébet flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern America, their lives are changed forever by a mysterious and wealthy client.",89.0,3h 35m,7.9,"https://m.media-amazon.com/images/M/MV5BYmZiYjUwMTgtODZiNi00ZjgwLTg0NjItZmIzNTkwYWMxNjBmXkEyXkFqcGc@._V1_QL75_UY207_CR115,0,140,207_.jpg",0.0,Not Rated
36. Maria,2024.0,"Follows the life story of the world's greatest opera singer, Maria Callas, during her final days in 1970s Paris.",63.0,2h 4m,6.2,"https://m.media-amazon.com/images/M/MV5BMWRlZjFlOTQtZWMzOS00ZDJhLWJhMTgtNjQ1Yjk2OTA1ZmEwXkEyXkFqcGdeQXVyMTE5MjgwMDI1._V1_QL75_UY207_CR78,0,140,207_.jpg",0.0,Not Rated
