Meta_score,Title,desc1,duration,image,rated,rating,releaseYear,vote
41,26. Jackpot!,"In the near future, a 'Grand Lottery' has been newly established in California - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot.",1h 46m,"https://m.media-amazon.com/images/M/MV5BMmQ2ZGU3ODYtNzA0Yi00NDlhLWIxNzYtM2E2Y2FhOGNjZjIyXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,5.8,2024,19K
22,27. Reagan,"A drama based on the life of Ronald Reagan, from his childhood to his time in the oval office.",2h 21m,"https://m.media-amazon.com/images/M/MV5BNzIyYTQ3ZmUtZjYzYy00ZWI4LWJiZTktN2Q0ZDY0YTgwNGM3XkEyXkFqcGdeQXVyNTg3MTk2NDk@._V1_QL75_UY207_CR2,0,140,207_.jpg",PG-13,6.6,2024,2.3K
68,28. A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,1h 39m,"https://m.media-amazon.com/images/M/MV5BNGZmODU3ZDEtMjQwZC00NTA5LThmNWYtYzk5MmY5ZmM4NGIxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",PG-13,6.3,2024,88K
,29. The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and ruthless Dunlending lord seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",2h 10m,"https://m.media-amazon.com/images/M/MV5BYjI1NTMzNjgtYjFmOS00YzFjLTg3MTEtMDgxZTcwZTE2NDM2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UY207_CR8,0,140,207_.jpg",Not Rated,,2024,0
55,30. The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,2h 2m,"https://m.media-amazon.com/images/M/MV5BOWI5YTlkNTktOTJlMC00MmYyLThkNzQtYmExOGZkZDE1ZjgwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,6.8,2024,94K
66,31. Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",2h 25m,"https://m.media-amazon.com/images/M/MV5BZGI4NTEwNTAtZDcwMi00MDkxLTg1OGYtNTZmMzE3ZDljNzVlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX140_CR0,0,140,207_.jpg",PG-13,6.9,2024,116K
,32. Jurassic World Rebirth,"Five years post-Jurassic World Dominion, an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough.",Not Relased,"https://m.media-amazon.com/images/M/MV5BNjMwMDQwYmMtZDM5MS00OGVjLTgyZTctNmNiMDEyNjZhYTdiXkEyXkFqcGdeQXVyNzAyOTQ3OQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",Not Rated,,2025,0
78,33. Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.,1h 38m,"https://m.media-amazon.com/images/M/MV5BMWU5Yjc0N2MtZjhlYS00MTM3LWI5YWUtZDg5MzcxZjEyZWJmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,6.7,2024,11K
,34. Apartment 7A,A struggling dancer finds herself drawn into dark forces by a peculiar couple promising her fame.,1h 44m,"https://m.media-amazon.com/images/M/MV5BNTFiZGQzZjUtN2ZjZi00ZGQ0LWI4YWMtNDM5MGFjZTRmZjM4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,,2024,0
73,35. The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job. What could possibly go right?",2h 6m,"https://m.media-amazon.com/images/M/MV5BM2U0MTJiYTItMjNiZS00MzU4LTkxYTAtYTU0ZGY1ODJhMjRhXkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg",PG-13,6.9,2024,146K
65,36. Alien: Covenant,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",2h 2m,"https://m.media-amazon.com/images/M/MV5BYzVkMjRhNzctOGQxMC00OGE2LWJhN2EtNmYyODRiMDNlM2ZmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,6.4,2017,315K
62,37. Maria,"Follows the life story of the world's greatest opera singer, Maria Callas, during her final days in 1970s Paris.",2h 4m,"https://m.media-amazon.com/images/M/MV5BMWRlZjFlOTQtZWMzOS00ZDJhLWJhMTgtNjQ1Yjk2OTA1ZmEwXkEyXkFqcGdeQXVyMTE5MjgwMDI1._V1_QL75_UY207_CR78,0,140,207_.jpg",Not Rated,6.6,2024,207
64,38. Prometheus,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",2h 4m,"https://m.media-amazon.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,7.0,2012,659K
47,39. Greedy People,Follows the residents of a small island town who must navigate a sensational murder and the discovery of a million dollars; a series of increasingly bad decisions upend the once peaceful community.,1h 52m,"https://m.media-amazon.com/images/M/MV5BYzBlM2E0M2EtMjBhNy00NTEwLWJlZTgtNTg5NGFiYTNmNGZkXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",R,6.1,2024,3K
48,40. The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.,1h 41m,"https://m.media-amazon.com/images/M/MV5BYTExNzBhOTAtOGIyYy00MzY5LWFjOWYtZDE2NDE0ZmI3Y2Q3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",R,6.2,2024,21K
70,41. Emilia Pérez,"Mexico, today. Lawyer Rita receives an unexpected offer. She has to help a feared cartel boss retire from his business and disappear forever by becoming the woman he's always dreamed of being.",2h 10m,"https://m.media-amazon.com/images/M/MV5BMGM0OGNhMzktZGFlNC00NDRmLWJmOTgtYmQ0N2JlZGJhMzQyXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",R,7.3,2024,1.4K
84,42. Aliens,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",2h 17m,"https://m.media-amazon.com/images/M/MV5BOGJkY2EyOWYtYWRmNy00ZTEzLTllMDAtYzYzYjA0ZjFhZWJjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg",R,8.4,1986,781K
38,43. The Deliverance,"An Indiana family discovers strange, demonic occurrences that convince them and their community that the house is a portal to hell.",1h 52m,"https://m.media-amazon.com/images/M/MV5BNWI2ZWFkNTAtYjA0NS00NzZkLWE1NzMtNGRkMmY2MzEwZWRkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,5.0,2024,5.8K
82,44. Hit Man,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services.",1h 55m,"https://m.media-amazon.com/images/M/MV5BNjE0ZDFiNjQtODhlOS00ZDllLTk0OTctODhjZGM2Y2RmZGQyXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX140_CR0,1,140,207_.jpg",R,6.9,2023,85K
85,45. The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",2h 20m,"https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg",R,7.9,2024,1.1K
,46. The Forge,"After graduating from high school without any plans for the future, Isaiah receives a push to start making better life decisions.",2h 4m,"https://m.media-amazon.com/images/M/MV5BMmYxMTUwM2ItZGVlZi00ODI0LTg2N2QtMTcyNTBlODcwNWUzXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX140_CR0,1,140,207_.jpg",PG,7.6,2024,765
